shot	act	dur_s	chips	prompt_sha	status	flow_clip_id	file	sha256	got_dur	attempts	note
83	4	8	@lender_cherd,@lung_somchai,@noodle_shop	34b37123823d79285a5daf4616623d69a5c904a768c3c87f6460c54fd864f37d	verified		C:\mooniex\out\banchi-ACT4\shot-83.mp4	c876b6ca52ebc3c7f5296c59960feebc70e6078fe4d3037fe9c0739ba09e4df8	8.0s	1	
84	4	10	@lender_cherd,@lung_somchai,@noodle_shop	f4b1a6c073de84802e50f4bfe131cb149d16efb5073372b8f371b8e9665085b0	verified		C:\mooniex\out\banchi-ACT4\shot-84.mp4	221b6307aa040b069648c3721215b713e438f1786d8a37c18999bcc8b46e3f00	10.0s	1	
85	4	6	@lung_somchai,@noodle_shop	0830874ec1f1999aa9c91547d97baafc0dae6de0beefb0d7955634cbe3f5ac66	verified		C:\mooniex\out\banchi-ACT4\shot-85.mp4	fb3832378dfa79c182e30c596f31a61f5551bd2e5ee2a16d1e2cd6f3ed72e5ca	6.0s	1	
86	4	4	@lender_cherd,@noodle_shop	c2aece4986114aba2a51299d2cddf271fc4a607775bccb5da8843f9a05687719	verified		C:\mooniex\out\banchi-ACT4\shot-86.mp4	d0df5628842fe4db98808d477c92193eb66e6cf1c0ae36ab7fc88f2552ea55d0	4.0s	1	
87	4	8	@lung_somchai,@noodle_shop	6332c38a3e77edb904ee661d9c42a46134d82d643bb5152a4bb21cc78ec52eef	verified		C:\mooniex\out\banchi-ACT4\shot-87.mp4	ee21dd44339e338f9e5dda651147e252901466636aff7cbb6db5e447c8c91de2	8.0s	1	
88	4	10	@lender_cherd,@lung_somchai,@noodle_shop	21445a8c1f8eadd51ecf61c1754b51702bb0fd62cfe029217975fde5cc5a9c54	verified		C:\mooniex\out\banchi-ACT4\shot-88.mp4	431d8b08f6db9ac4eae02ce1739faa6a53c1a3a9336845efc3c0028bb4432152	10.0s	1	
89	4	8	@lender_cherd,@noodle_shop	94e12a5b262c98bec0b01cc04df945d7d58adc3b77688383002b29af85c8b6e6	verified		C:\mooniex\out\banchi-ACT4\shot-89.mp4	2762bab18c35fffad94cfc004cc3dadc2f3ab48824ff2e5b766c0315184b8cdc	8.0s	1	
90	4	4	@lung_somchai,@noodle_shop	9731e6a510ff388089bcc2882a2828c5ff95cd6c5abe596afdbf69b603ed7e0e	verified		C:\mooniex\out\banchi-ACT4\shot-90.mp4	ae6fd995d6da4f6a0bea0010496ff3d2393cd8ca03b83f837520b11eec08c120	4.0s	1	
91	4	4	@lender_cherd,@noodle_shop	aab4570eeb843afb7f6b58a6a5aa7a18be00e3baf8775b0a8bd7086b5ac0dc59	verified		C:\mooniex\out\banchi-ACT4\shot-91.mp4	8f23579265239fe237090fe201290798f6c021cdc3ccfcca4df42d7aa443b9b2	4.0s	1	
92	4	6	@lung_somchai,@lender_cherd,@noodle_shop	512420adbfb04f81202eba6676cc020caffd3b74373dce7f8320a9c1b312f14e	verified		C:\mooniex\out\banchi-ACT4\shot-92.mp4	c37cd659acf95c9d1e9e8733d70c8e61cfb268abbace7e8c8bcb6980c705553d	6.0s 1080x1920	1	
93	4	4	@nong_daeng,@lung_somchai,@noodle_shop	c910f1ff9527c5d948ff1a5247266b9b079512a1cca53e1397e4b601c1050f8d	verified		C:\mooniex\out\banchi-ACT4\shot-93.mp4	cf550c1244635cb53dfc0c6df5a2eb3badca066400b1d9d4536438f52a8fb15a	4.0s 1080x1920	1	
94	4	8	@nong_daeng,@lung_somchai,@noodle_shop	87e693ee9279c15516c1a8ea305574f9e7d66ab57a009235e6357cdff2d9d6ee	verified		C:\mooniex\out\banchi-ACT4\shot-94.mp4	e861ad9814175d330ade6c2204691a70ab64fd5e269a84d6af37d200973859c5	8.0s 1080x1920	1	
95	4	10	@jae_muay,@lung_somchai,@noodle_shop	004d23d9f20d3fa4ac9b2ba526968cf4cd6ea040368d78593181c7128567bf2d	verified		C:\mooniex\out\banchi-ACT4\shot-95.mp4	7ea5dc57dec1cbf0f85d9b197d1c780b6543c3ffb13884724db3e8bb9a6f59a6	10.0s 1080x1920	1	
96	4	8	@lung_somchai,@jae_muay,@noodle_shop	6338978c1b2677cfede2cc987d25e0965c4b1de7bb72ceacd366d2fdd6cd6d51	verified		C:\mooniex\out\banchi-ACT4\shot-96.mp4	4cf21b15090d17fb2c14e640dc9ab7ef0b7bc79d1b39156139a24e3992e9a630	8.0s 1080x1920	1	
97	4	8	@cop_wit,@lung_somchai,@noodle_shop	3e8e942842e60e5185655c039f1e7ed019572b580c8812905776acb314ef33cd	verified		C:\mooniex\out\banchi-ACT4\shot-97.mp4	48f77b7db9bcaa0d915a86ee235a74e9f12a990e4e6e5c1f86f00c41b5b452a2	8.0s 1080x1920	1	
