"DisplayName","DisplayVersion","Publisher","InstallLocation"
"Node.js","24.15.0","Node.js Foundation",""
"Notion 7.11.0","7.11.0","Notion Labs, Inc",
"NVIDIA GeForce NOW 2.0.87.131","2.0.87.131","NVIDIA Corporation","C:\Users\UsEr\AppData\Local\NVIDIA Corporation\Installer2\GeForceNOW.{AD0BED4E-CAEE-441C-82AD-8B5E44E67865}"
"NVIDIA Install Application","2.1002.427.0","NVIDIA Corporation","C:\Users\UsEr\AppData\Local\NVIDIA Corporation\Installer2\InstallerCore"
"Promontory_GPIO Driver","3.0.5.0","Advanced Micro Devices, Inc.",""
"Python 3.11.9 (64-bit)","3.11.9150.0","Python Software Foundation",
"Python 3.11.9 Add to Path (64-bit)","3.11.9150.0","Python Software Foundation",""
"Python 3.11.9 Core Interpreter (64-bit)","3.11.9150.0","Python Software Foundation",""
"Python 3.11.9 Development Libraries (64-bit)","3.11.9150.0","Python Software Foundation",""
"Python 3.11.9 Documentation (64-bit)","3.11.9150.0","Python Software Foundation",""
"Python 3.11.9 Executables (64-bit)","3.11.9150.0","Python Software Foundation",""
"Python 3.11.9 pip Bootstrap (64-bit)","3.11.9150.0","Python Software Foundation",""
"Python 3.11.9 Standard Library (64-bit)","3.11.9150.0","Python Software Foundation",""
"Python 3.11.9 Tcl/Tk Support (64-bit)","3.11.9150.0","Python Software Foundation",""
"Python 3.11.9 Test Suite (64-bit)","3.11.9150.0","Python Software Foundation",""
"Python 3.11.9 Utility Scripts (64-bit)","3.11.9150.0","Python Software Foundation",""
"Python Launcher","3.11.9150.0","Python Software Foundation",""
"Razer Chroma","4.0.503","Razer Inc.",
"Razer Cortex","11.11.0.17","Razer Inc.","C:\Program Files (x86)\Razer\Razer Cortex\"
"Razer Synapse","4.0.503","Razer Inc.",
"Rclone","1.75.1","Rclone","C:\Users\UsEr\AppData\Local\Microsoft\WinGet\Packages\Rclone.Rclone_Microsoft.Winget.Source_8wekyb3d8bbwe"
"RivaTuner Statistics Server 7.3.7","7.3.7","Unwinder",
"Rustup: the Rust toolchain installer","1.29.1",,
"RyzenMasterSDK","1.2.3.5","Advanced Micro Devices, Inc.",""
"ScreenRec","00.01.00.60","StreamingVideoProvider",
"SDK ARM64 Additions","10.1.26100.7705","Microsoft Corporation",""
"SDK ARM64 Redistributables","10.1.26100.7705","Microsoft Corporation",""
"Steam","2.10.91.91","Valve Corporation",
"Tailscale","1.102.2","Tailscale Inc.",
"Tailscale","1.102.2","Tailscale Inc.",""
"TechPowerUp GPU-Z","2.68.0","TechPowerUp","C:\Program Files (x86)\GPU-Z\"
"TightVNC","2.8.88.0","GlavSoft LLC.",""
"Universal CRT Extension SDK","10.1.26100.7705","Microsoft Corporation",""
"Universal CRT Headers Libraries and Sources","10.1.26100.7705","Microsoft Corporation",""
"Universal CRT Redistributable","10.0.26624","Microsoft Corporation",""
"Universal CRT Redistributable","10.1.26100.7705","Microsoft Corporation",""
"Universal CRT Tools x64","10.1.26100.7705","Microsoft Corporation",""
"Universal CRT Tools x86","10.1.26100.7705","Microsoft Corporation",""
"Universal General MIDI DLS Extension SDK","10.1.26100.7705","Microsoft Corporation",""
"vcpp_crt.redist.clickonce","14.44.35211","Microsoft Corporation",""
"Visual Studio Build Tools 2022","17.14.41","Microsoft Corporation","C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools"
"VS Script Debugging Common","17.0.157.0","Microsoft Corporation",""
"vs_communitymsires","17.14.36015","Microsoft Corporation",""
"vs_communitysharedmsi","17.14.36025","Microsoft Corporation",""
"vs_communityx64msi","17.14.36025","Microsoft Corporation",""
"vs_CoreEditorFonts","17.7.40001","Microsoft Corporation",""
"vs_filehandler_amd64","17.14.36024","Microsoft Corporation",""
"vs_filehandler_x86","17.14.36024","Microsoft Corporation",""
"vs_FileTracker_Singleton","17.14.36015","Microsoft Corporation",""
"vs_githubprotocolhandlermsi","17.14.36015","Microsoft Corporation",""
"vs_minshellinteropmsi","17.14.36015","Microsoft Corporation",""
"vs_minshellinteropsharedmsi","17.14.36015","Microsoft Corporation",""
"vs_minshellmsi","17.14.36301","Microsoft Corporation",""
"vs_minshellmsires","17.14.36015","Microsoft Corporation",""
"vs_minshellsharedmsi","17.14.36024","Microsoft Corporation",""
"vs_vswebprotocolselectormsi","17.14.36323","Microsoft Corporation",""
"WinAppDeploy","10.1.26100.7705","Microsoft Corporation",""
"Windows App Certification Kit Native Components","10.1.26100.7705","Microsoft Corporation",""
"Windows App Certification Kit SupportedApiList x86","10.1.26100.7705","Microsoft Corporation",""
"Windows App Certification Kit x64","10.1.26100.7705","Microsoft Corporation",""
"Windows App Certification Kit x64 (OnecoreUAP)","10.1.26100.7705","Microsoft Corporation",""
"Windows Desktop Extension SDK","10.1.26100.7705","Microsoft Corporation",""
"Windows Desktop Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation",""
"Windows IoT Extension SDK","10.1.26100.7705","Microsoft Corporation",""
"Windows IoT Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation",""
"Windows Mobile Extension SDK","10.1.26100.7705","Microsoft Corporation",""
"Windows Mobile Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK AddOn","10.1.0.0","Microsoft Corporation",""
"Windows SDK ARM64 Desktop Tools","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Desktop Headers arm64","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Desktop Headers x64","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Desktop Headers x86","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Desktop Libs arm64","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Desktop Libs x64","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Desktop Libs x86","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Desktop Tools arm64","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Desktop Tools x64","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Desktop Tools x86","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK DirectX x64 Remote","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK DirectX x86 Remote","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK EULA","10.1.26100.7705","Microsoft Corporations",""
"Windows SDK Facade Windows WinMD Versioned","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK for Windows Store Apps","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK for Windows Store Apps Contracts","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK for Windows Store Apps Headers","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK for Windows Store Apps Headers OnecoreUap","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK for Windows Store Apps Libs","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK for Windows Store Apps Metadata","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK for Windows Store Apps Tools","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK for Windows Store Managed Apps Libs","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Modern Non-Versioned Developer Tools","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Modern Versioned Developer Tools","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK OnecoreUap Headers arm64","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK OnecoreUap Headers x64","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK OnecoreUap Headers x86","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Redistributables","10.1.26100.7705","Microsoft Corporation",""
"Windows SDK Signing Tools","10.1.26100.7705","Microsoft Corporation",""
"Windows Software Development Kit - Windows 10.0.26100.7705","10.1.26100.7705","Microsoft Corporation",
"Windows Subsystem for Linux","2.7.14.0","Microsoft Corporation",""
"Windows Team Extension SDK","10.1.26100.7705","Microsoft Corporation",""
"Windows Team Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation",""
"WinRAR 7.13 (64-bit)","7.13.0","win.rar GmbH","C:\Program Files\WinRAR"
"WinRT Intellisense Desktop - en-us","10.1.26100.7705","Microsoft Corporation",""
"WinRT Intellisense Desktop - Other Languages","10.1.26100.7705","Microsoft Corporation",""
"WinRT Intellisense IoT - en-us","10.1.26100.7705","Microsoft Corporation",""
"WinRT Intellisense IoT - Other Languages","10.1.26100.7705","Microsoft Corporation",""
"WinRT Intellisense Mobile - en-us","10.1.26100.7705","Microsoft Corporation",""
"WinRT Intellisense PPI - en-us","10.1.26100.7705","Microsoft Corporation",""
"WinRT Intellisense PPI - Other Languages","10.1.26100.7705","Microsoft Corporation",""
"WinRT Intellisense UAP - en-us","10.1.26100.7705","Microsoft Corporation",""
"WinRT Intellisense UAP - Other Languages","10.1.26100.7705","Microsoft Corporation",""
"yt-dlp","2026.08.19","yt-dlp","C:\Users\UsEr\AppData\Local\Microsoft\WinGet\Packages\yt-dlp.yt-dlp_Microsoft.Winget.Source_8wekyb3d8bbwe"
