O1	[0.9] Chief, there are no fish. None left. We're starving. Please do something.
O2	[0.0] He's right. Not one fish, all week. | [2.9] So, the day has come. | [6.6] We need the child with the gift.
O3	[3.9] It's time you are the chosen one you two will go with the child
O4	[0.0] We had the ducks!
M4	[0.0] I can smell it.
N1	
N2	[0.7] This out
N3	[7.1] Wow
M6	[0.0] Hahahaha
N4	
N12	[0.0] There's the lake off right Ray, so this is it like of the line of death
N5	
N6	[0.4] We need your light now
N7	[0.0] Play out! | [1.0] Give it up! | [2.0] No!
N13	[6.1] Wait, wake up! Look!
N9	[1.1] Right, it's time to put an ace in.
N10	
N11	[3.1] Thank you.
M13	[0.0] Thanks for watching!
